Wall time,Step,Value
1705997884.944203,603,0.0
1705997906.4161,1972,0.0
1705997941.360106,4161,0.0
1705997951.2799954,4795,0.0
1705997953.212062,4917,0.0
1705997974.4320729,6261,0.0
1705997976.2481303,6376,0.0
1705997990.7679868,7284,0.0
1705997999.9439743,7831,0.0
1705998008.0122268,8321,0.0
1705998016.7880151,8859,0.0
1705998028.5330474,9595,0.0
1705998035.95426,10062,0.0
1705998040.7722507,10343,0.0
1705998059.7080526,11505,0.0
1705998070.583914,12183,0.0
1705998073.0523987,12336,0.0
1705998126.956354,15654,0.0
1705998133.1521716,16040,0.0
1705998137.4364257,16306,0.0
1705998142.0480404,16594,0.0
1705998187.1338499,19454,2.0
1705998276.6401436,25069,12.0
1705998313.5816016,27381,12.0
1705998319.0511444,27736,12.0
1705998398.9483564,32697,12.0
1705998433.7138147,34865,22.0
1705998435.8601143,34989,23.0
1705998455.6360292,36197,32.0
1705998479.6802833,37661,39.0
1705998486.6522596,38085,37.0
1705998510.2321866,39539,37.0
1705998518.1325939,40016,36.0
1705998550.0760796,41977,40.0
1705998607.180052,45500,49.0
1705998621.837424,46420,50.0
1705998627.3441403,46750,51.0
1705998674.7466712,49656,53.0
1705998694.072381,50801,55.0
1705998714.888178,52085,55.0
1705998720.372646,52418,56.0
1705998745.9084322,53934,58.0
1705998760.9400632,54831,60.0
1705998773.9841084,55624,62.0
1705998799.1909757,57156,65.0
1705998803.3457158,57413,67.0
1705998826.1843355,58782,71.0
1705998841.3075078,59707,73.0
1705998864.160266,61073,73.0
1705998864.2562213,61074,72.0
1705998868.9202342,61348,72.0
1705998880.6293397,62032,72.0
1705998897.1256676,63004,71.0
1705998901.1922686,63265,73.0
1705998914.9959602,64116,73.0
1705998922.400005,64573,73.0
1705998923.8999195,64658,73.0
1705998929.9959304,65036,72.0
1705998961.916017,66993,71.0
1705998964.7559886,67167,69.0
1705998968.0039134,67373,69.0
1705998976.5218308,67912,69.0
1705999002.760002,69567,71.0
1705999010.9769573,70096,70.0
1705999014.195672,70298,72.0
1705999016.8558974,70462,73.0
1705999043.4439156,72132,71.0
1705999054.3401365,72817,71.0
1705999067.8602283,73685,71.0
1705999137.7178962,78122,69.0
1705999158.0098617,79440,71.0
1705999159.5720427,79533,72.0
1705999291.582419,88018,69.0
1705999292.5520365,88079,68.0
1705999319.332262,89773,71.0
1705999348.6568274,91692,73.0
1705999353.500066,92001,74.0
1705999388.1841474,94188,73.0
1705999427.1688087,96718,73.0
1705999454.904106,98524,69.0
1705999509.7561414,101995,68.0
1705999628.0425928,109640,67.0
1705999642.5614488,110587,66.0
1705999730.799867,116263,64.0
1705999813.36815,121502,60.0
1705999859.2162082,124411,63.0
1705999866.8799517,124899,63.0
1705999884.9244728,126070,63.0
1705999914.3888915,127949,62.0
1705999968.6000016,131375,63.0
1705999971.1951764,131523,63.0
1705999978.4625168,131971,64.0
1706000010.8200743,134054,61.0
1706000053.3840332,136765,62.0
1706000138.1125748,142136,63.0
1706000161.7483485,143621,61.0
1706000183.2239482,144979,62.0
1706000262.3446,150057,61.0
1706000310.0638905,153116,59.0
1706000326.8844073,154189,59.0
1706000480.6032083,163979,57.0
1706000530.0603929,167113,55.0
1706000561.8163152,169082,55.0
1706000774.148884,182395,62.0
1706000782.276486,182888,61.0
1706000797.7920542,183858,60.0
1706000848.476964,187004,60.0
1706000865.6839874,188036,62.0
1706000896.3439918,189992,60.0
1706000902.2040346,190342,59.0
1706000933.9907105,192284,60.0
1706001007.3597374,196812,58.0
1706001057.4682145,199894,59.0
1706001057.556228,199895,59.0
1706001070.7402265,200702,57.0
1706001095.8521092,202303,59.0
1706001138.0440226,204954,59.0
1706001189.2879798,208168,54.0
1706001208.7361572,209347,55.0
1706001211.75127,209518,55.0
1706001240.769963,211321,56.0
1706001255.0815756,212211,56.0
1706001281.2080672,213801,56.0
1706001295.9882169,214703,58.0
1706001315.800053,215930,56.0
1706001327.904085,216691,56.0
1706001394.246244,220874,54.0
1706001416.9761636,222297,53.0
1706001420.6520112,222525,54.0
1706001476.8647583,225988,56.0
1706001533.8279274,229567,56.0
1706001545.556057,230302,57.0
1706001590.8400967,233098,57.0
1706001637.2602265,236019,57.0
1706001641.2320433,236253,57.0
1706001764.3251345,243920,53.0
1706001790.643968,245519,52.0
1706001908.7545712,252834,56.0
1706001938.1200552,254647,55.0
1706001938.163171,254648,55.0
1706001948.9119825,255318,54.0
1706001967.8323987,256486,52.0
1706001988.8959827,257823,50.0
1706002014.460196,259412,50.0
1706002034.5924659,260643,51.0
1706002062.4560797,262409,48.0
1706002176.4400573,269531,43.0
1706002222.9399705,272409,40.0
1706002286.4160392,276296,42.0
1706002306.8921554,277573,43.0
1706002409.4902842,283922,41.0
1706002467.6174977,287482,41.0
1706002475.9718895,287964,43.0
1706002519.2482193,290614,42.0
1706002519.2956884,290615,42.0
1706002762.0686576,305574,43.0
1706002892.927915,313590,41.0
1706002900.3342714,314055,41.0
1706003008.4798608,320798,40.0
1706003019.1332343,321453,40.0
1706003110.2160926,327086,37.0
1706003122.2557535,327848,37.0
1706003186.1359813,331738,38.0
1706003205.8518858,332915,39.0
1706003252.7154212,335772,42.0
1706003290.764144,338111,41.0
1706003313.691839,339486,40.0
1706003325.3118045,340198,42.0
1706003376.6359444,343283,43.0
1706003423.0266137,346106,45.0
1706003475.3749952,349333,46.0
1706003483.3799765,349814,47.0
1706003560.1240814,354560,48.0
1706003579.8482237,355767,47.0
1706003606.9427192,357432,48.0
1706003623.7080832,358441,50.0
1706003666.1534674,361047,47.0
1706003713.911806,363968,48.0
1706003735.7749083,365306,47.0
1706003737.6959646,365414,48.0
1706003861.4960873,372979,47.0
1706003898.112081,375205,48.0
1706003908.361388,375851,49.0
1706004054.2227685,384667,49.0
1706004085.171959,386580,47.0
1706004126.2955585,389127,48.0
1706004179.0124836,392337,46.0
1706004228.595975,395386,44.0
1706004241.0499926,396135,44.0
1706004247.4036505,396517,42.0
1706004269.3253975,397836,45.0
1706004301.332087,399783,44.0
1706004443.990589,408429,43.0
1706004619.4466293,418572,36.0
1706004630.080401,419184,37.0
1706004703.208061,423451,40.0
1706004725.3000562,424726,40.0
1706004795.380109,428833,38.0
1706005059.0883763,444118,30.0
1706005074.303706,444976,33.0
1706005135.8604996,448521,30.0
1706005165.3322806,450177,31.0
1706005170.531722,450474,31.0
1706005300.5079741,457963,29.0
1706005367.14012,461792,29.0
1706005381.7516885,462630,28.0
1706005411.4356081,464341,31.0
1706005411.4877121,464342,30.0
1706005502.4199917,469599,30.0
1706005505.9442124,469801,29.0
1706005578.7280934,474010,30.0
1706005596.212039,474997,28.0
1706005614.0680478,476014,30.0
1706005627.7639863,476797,30.0
1706005693.2690504,480572,29.0
1706005703.1643994,481139,29.0
1706005734.4880779,482961,30.0
1706005824.5960865,488200,28.0
1706005836.6941,488899,27.0
1706005887.089499,491772,26.0
1706006368.5118933,521252,27.0
